2023-07-23 11:18:07 INFO     Start experiments with Namespace(dataset='citeseer', model='gcn', method=['symrr'], grid_search=True, use_dense_model=False, eps=[5, 6])
2023-07-23 11:18:12 INFO     Using device: cuda
2023-07-23 11:18:12 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 11:18:12 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 11:18:12 INFO     [symrr: gcn on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 11:18:12 INFO     [symrr: gcn on citeseer with eps=5] Start grid search for hyperparameter tuning.
2023-07-23 11:22:20 INFO     [symrr: gcn on citeseer with eps=5] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 1e-05} with validation loss 1.2617732048034669
2023-07-23 11:22:20 INFO     [symrr: gcn on citeseer with eps=5] Saving best hp to output/bl_best_hp.json
2023-07-23 11:22:20 INFO     [symrr: gcn on citeseer with eps=6] Start grid search for hyperparameter tuning.
2023-07-23 11:26:45 INFO     [symrr: gcn on citeseer with eps=6] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 1e-05} with validation loss 1.107688570022583
2023-07-23 11:26:45 INFO     [symrr: gcn on citeseer with eps=6] Saving best hp to output/bl_best_hp.json
2023-07-23 11:26:45 INFO     [symrr: gcn on citeseer] Grid search done.
2023-07-23 11:26:45 INFO     Grid search done!
2023-07-23 11:26:45 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 11:26:45 INFO     [symrr: gcn on citeseer] Start running experiments on various epsilons.
2023-07-23 11:26:45 INFO     [symrr: gcn on citeseer with eps=5] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 11:27:35 INFO     [symrr: gcn on citeseer with eps=5] Test accuracy is 0.5259214743589744 (0.054365983353353894).
2023-07-23 11:27:35 INFO     [symrr: gcn on citeseer with eps=5] Saving training results to output/bl_results.json
2023-07-23 11:27:35 INFO     [symrr: gcn on citeseer with eps=6] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 11:28:25 INFO     [symrr: gcn on citeseer with eps=6] Test accuracy is 0.6039663461538461 (0.023449824175953555).
2023-07-23 11:28:25 INFO     [symrr: gcn on citeseer with eps=6] Saving training results to output/bl_results.json
2023-07-23 11:28:25 INFO     [symrr: gcn on citeseer] Experiments done.
2023-07-23 11:28:25 INFO     All baseline experiments done!
