2023-07-23 03:05:13 INFO     Start experiments with Namespace(dataset='lastfm', model='graphsage', method=['symrr'], grid_search=True, use_dense_model=False, eps=[1, 2])
2023-07-23 03:05:18 INFO     Using device: cuda
2023-07-23 03:05:18 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 03:05:18 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 03:05:18 INFO     [symrr: graphsage on lastfm] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 03:05:18 INFO     [symrr: graphsage on lastfm with eps=1] Start grid search for hyperparameter tuning.
2023-07-23 04:11:15 INFO     [symrr: graphsage on lastfm with eps=1] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 1e-05} with validation loss 1.0668958187103272
2023-07-23 04:11:15 INFO     [symrr: graphsage on lastfm with eps=1] Saving best hp to output/bl_best_hp.json
2023-07-23 04:11:15 INFO     [symrr: graphsage on lastfm with eps=2] Start grid search for hyperparameter tuning.
2023-07-23 04:44:07 INFO     [symrr: graphsage on lastfm with eps=2] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0} with validation loss 1.0767585515975953
2023-07-23 04:44:07 INFO     [symrr: graphsage on lastfm with eps=2] Saving best hp to output/bl_best_hp.json
2023-07-23 04:44:07 INFO     [symrr: graphsage on lastfm] Grid search done.
2023-07-23 04:44:07 INFO     Grid search done!
2023-07-23 04:44:07 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 04:44:07 INFO     [symrr: graphsage on lastfm] Start running experiments on various epsilons.
2023-07-23 04:44:07 INFO     [symrr: graphsage on lastfm with eps=1] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 04:56:30 INFO     [symrr: graphsage on lastfm with eps=1] Test accuracy is 0.686131514515565 (0.026334773813957206).
2023-07-23 04:56:30 INFO     [symrr: graphsage on lastfm with eps=1] Saving training results to output/bl_results.json
2023-07-23 04:56:30 INFO     [symrr: graphsage on lastfm with eps=2] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0}.
2023-07-23 05:02:38 INFO     [symrr: graphsage on lastfm with eps=2] Test accuracy is 0.6833333333333333 (0.02332645955835442).
2023-07-23 05:02:38 INFO     [symrr: graphsage on lastfm with eps=2] Saving training results to output/bl_results.json
2023-07-23 05:02:38 INFO     [symrr: graphsage on lastfm] Experiments done.
2023-07-23 05:02:38 INFO     All baseline experiments done!
