2023-07-23 10:32:40 INFO     Start experiments with Namespace(dataset='citeseer', model='gat', method=['symrr'], grid_search=True, use_dense_model=False, eps=[1, 2])
2023-07-23 10:32:45 INFO     Using device: cuda
2023-07-23 10:32:45 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 10:32:45 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 10:32:45 INFO     [symrr: gat on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 10:32:45 INFO     [symrr: gat on citeseer with eps=1] Start grid search for hyperparameter tuning.
2023-07-23 10:45:39 INFO     [symrr: gat on citeseer with eps=1] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0} with validation loss 1.7084709882736206
2023-07-23 10:45:39 INFO     [symrr: gat on citeseer with eps=1] Saving best hp to output/bl_best_hp.json
2023-07-23 10:45:39 INFO     [symrr: gat on citeseer with eps=2] Start grid search for hyperparameter tuning.
2023-07-23 10:55:01 INFO     [symrr: gat on citeseer with eps=2] Best hparam is: {'do': 0, 'lr': 0.01, 'wd': 0} with validation loss 1.699877953529358
2023-07-23 10:55:01 INFO     [symrr: gat on citeseer with eps=2] Saving best hp to output/bl_best_hp.json
2023-07-23 10:55:01 INFO     [symrr: gat on citeseer] Grid search done.
2023-07-23 10:55:01 INFO     Grid search done!
2023-07-23 10:55:01 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 10:55:01 INFO     [symrr: gat on citeseer] Start running experiments on various epsilons.
2023-07-23 10:55:01 INFO     [symrr: gat on citeseer with eps=1] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 0}.
2023-07-23 10:57:25 INFO     [symrr: gat on citeseer with eps=1] Test accuracy is 0.20813301282051275 (0.016901401489477552).
2023-07-23 10:57:25 INFO     [symrr: gat on citeseer with eps=1] Saving training results to output/bl_results.json
2023-07-23 10:57:25 INFO     [symrr: gat on citeseer with eps=2] Run with best hp found: {'do': 0, 'lr': 0.01, 'wd': 0}.
2023-07-23 10:59:10 INFO     [symrr: gat on citeseer with eps=2] Test accuracy is 0.2536057692307692 (0.04167976248834454).
2023-07-23 10:59:10 INFO     [symrr: gat on citeseer with eps=2] Saving training results to output/bl_results.json
2023-07-23 10:59:10 INFO     [symrr: gat on citeseer] Experiments done.
2023-07-23 10:59:10 INFO     All baseline experiments done!
