2023-07-23 06:42:00 INFO     Start experiments with Namespace(dataset='lastfm', model='gat', method=['ldpgen'], grid_search=True, use_dense_model=False, eps=[3, 4])
2023-07-23 06:42:05 INFO     Using device: cuda
2023-07-23 06:42:05 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 06:42:05 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 06:42:05 INFO     [ldpgen: gat on lastfm] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 06:42:05 INFO     [ldpgen: gat on lastfm with eps=3] Start grid search for hyperparameter tuning.
2023-07-23 06:51:58 INFO     [ldpgen: gat on lastfm with eps=3] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 1e-05} with validation loss 2.31463680267334
2023-07-23 06:51:58 INFO     [ldpgen: gat on lastfm with eps=3] Saving best hp to output/bl_best_hp.json
2023-07-23 06:51:58 INFO     [ldpgen: gat on lastfm with eps=4] Start grid search for hyperparameter tuning.
2023-07-23 07:01:41 INFO     [ldpgen: gat on lastfm with eps=4] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 2.2898879528045653
2023-07-23 07:01:41 INFO     [ldpgen: gat on lastfm with eps=4] Saving best hp to output/bl_best_hp.json
2023-07-23 07:01:41 INFO     [ldpgen: gat on lastfm] Grid search done.
2023-07-23 07:01:41 INFO     Grid search done!
2023-07-23 07:01:41 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 07:01:41 INFO     [ldpgen: gat on lastfm] Start running experiments on various epsilons.
2023-07-23 07:01:41 INFO     [ldpgen: gat on lastfm with eps=3] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 07:03:34 INFO     [ldpgen: gat on lastfm with eps=3] Test accuracy is 0.21909758656873032 (0.010064339471464906).
2023-07-23 07:03:34 INFO     [ldpgen: gat on lastfm with eps=3] Saving training results to output/bl_results.json
2023-07-23 07:03:34 INFO     [ldpgen: gat on lastfm with eps=4] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 07:05:26 INFO     [ldpgen: gat on lastfm with eps=4] Test accuracy is 0.2556663168940189 (0.0332963949693067).
2023-07-23 07:05:26 INFO     [ldpgen: gat on lastfm with eps=4] Saving training results to output/bl_results.json
2023-07-23 07:05:26 INFO     [ldpgen: gat on lastfm] Experiments done.
2023-07-23 07:05:26 INFO     All baseline experiments done!
