2023-07-23 08:23:20 INFO     Start experiments with Namespace(dataset='cora', model='gat', method=['ldpgen'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 08:23:23 INFO     Using device: cuda
2023-07-23 08:23:23 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 08:23:23 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 08:23:23 INFO     [ldpgen: gat on cora] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 08:23:23 INFO     [ldpgen: gat on cora with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 08:31:28 INFO     [ldpgen: gat on cora with eps=7] Best hparam is: {'do': 0, 'lr': 0.01, 'wd': 0.001} with validation loss 1.720668649673462
2023-07-23 08:31:28 INFO     [ldpgen: gat on cora with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 08:31:28 INFO     [ldpgen: gat on cora with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 08:39:34 INFO     [ldpgen: gat on cora with eps=8] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0.001} with validation loss 1.7238136053085327
2023-07-23 08:39:34 INFO     [ldpgen: gat on cora with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 08:39:34 INFO     [ldpgen: gat on cora] Grid search done.
2023-07-23 08:39:34 INFO     Grid search done!
2023-07-23 08:39:34 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 08:39:34 INFO     [ldpgen: gat on cora] Start running experiments on various epsilons.
2023-07-23 08:39:34 INFO     [ldpgen: gat on cora with eps=7] Run with best hp found: {'do': 0, 'lr': 0.01, 'wd': 0.001}.
2023-07-23 08:41:05 INFO     [ldpgen: gat on cora with eps=7] Test accuracy is 0.3527818808468734 (0.010699809853323842).
2023-07-23 08:41:05 INFO     [ldpgen: gat on cora with eps=7] Saving training results to output/bl_results.json
2023-07-23 08:41:05 INFO     [ldpgen: gat on cora with eps=8] Run with best hp found: {'do': 0.1, 'lr': 0.01, 'wd': 0.001}.
2023-07-23 08:42:37 INFO     [ldpgen: gat on cora with eps=8] Test accuracy is 0.3538158542589857 (0.01164156904471228).
2023-07-23 08:42:37 INFO     [ldpgen: gat on cora with eps=8] Saving training results to output/bl_results.json
2023-07-23 08:42:37 INFO     [ldpgen: gat on cora] Experiments done.
2023-07-23 08:42:37 INFO     All baseline experiments done!
