2023-07-23 06:03:05 INFO     Start experiments with Namespace(dataset='cora', model='graphsage', method=['symrr'], grid_search=True, use_dense_model=False, eps=[3, 4])
2023-07-23 06:03:10 INFO     Using device: cuda
2023-07-23 06:03:10 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 06:03:10 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 06:03:10 INFO     [symrr: graphsage on cora] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 06:03:10 INFO     [symrr: graphsage on cora with eps=3] Start grid search for hyperparameter tuning.
2023-07-23 06:19:52 INFO     [symrr: graphsage on cora with eps=3] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0.001} with validation loss 0.8064314842224121
2023-07-23 06:19:52 INFO     [symrr: graphsage on cora with eps=3] Saving best hp to output/bl_best_hp.json
2023-07-23 06:19:52 INFO     [symrr: graphsage on cora with eps=4] Start grid search for hyperparameter tuning.
2023-07-23 06:27:43 INFO     [symrr: graphsage on cora with eps=4] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.001} with validation loss 0.7996490359306335
2023-07-23 06:27:43 INFO     [symrr: graphsage on cora with eps=4] Saving best hp to output/bl_best_hp.json
2023-07-23 06:27:43 INFO     [symrr: graphsage on cora] Grid search done.
2023-07-23 06:27:43 INFO     Grid search done!
2023-07-23 06:27:43 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 06:27:43 INFO     [symrr: graphsage on cora] Start running experiments on various epsilons.
2023-07-23 06:27:43 INFO     [symrr: graphsage on cora with eps=3] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 06:30:52 INFO     [symrr: graphsage on cora with eps=3] Test accuracy is 0.7089118660758247 (0.0046387260318321655).
2023-07-23 06:30:52 INFO     [symrr: graphsage on cora with eps=3] Saving training results to output/bl_results.json
2023-07-23 06:30:52 INFO     [symrr: graphsage on cora with eps=4] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 06:32:23 INFO     [symrr: graphsage on cora with eps=4] Test accuracy is 0.7127031019202363 (0.0036927621861152404).
2023-07-23 06:32:23 INFO     [symrr: graphsage on cora with eps=4] Saving training results to output/bl_results.json
2023-07-23 06:32:23 INFO     [symrr: graphsage on cora] Experiments done.
2023-07-23 06:32:23 INFO     All baseline experiments done!
