2023-07-23 03:04:41 INFO     Start experiments with Namespace(dataset='cora', model='graphsage', method=['ldpgen'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 03:04:43 INFO     Using device: cuda
2023-07-23 03:04:43 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 03:04:43 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 03:04:43 INFO     [ldpgen: graphsage on cora] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 03:04:43 INFO     [ldpgen: graphsage on cora with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 03:08:28 INFO     [ldpgen: graphsage on cora with eps=7] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.001} with validation loss 0.8523239612579345
2023-07-23 03:08:28 INFO     [ldpgen: graphsage on cora with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 03:08:28 INFO     [ldpgen: graphsage on cora with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 03:12:17 INFO     [ldpgen: graphsage on cora with eps=8] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.001} with validation loss 0.8493463277816773
2023-07-23 03:12:17 INFO     [ldpgen: graphsage on cora with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 03:12:17 INFO     [ldpgen: graphsage on cora] Grid search done.
2023-07-23 03:12:17 INFO     Grid search done!
2023-07-23 03:12:17 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 03:12:17 INFO     [ldpgen: graphsage on cora] Start running experiments on various epsilons.
2023-07-23 03:12:17 INFO     [ldpgen: graphsage on cora with eps=7] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 03:12:59 INFO     [ldpgen: graphsage on cora with eps=7] Test accuracy is 0.6877892663712457 (0.010455032286955698).
2023-07-23 03:12:59 INFO     [ldpgen: graphsage on cora with eps=7] Saving training results to output/bl_results.json
2023-07-23 03:12:59 INFO     [ldpgen: graphsage on cora with eps=8] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 03:13:42 INFO     [ldpgen: graphsage on cora with eps=8] Test accuracy is 0.684736582964057 (0.011603711539965327).
2023-07-23 03:13:42 INFO     [ldpgen: graphsage on cora with eps=8] Saving training results to output/bl_results.json
2023-07-23 03:13:42 INFO     [ldpgen: graphsage on cora] Experiments done.
2023-07-23 03:13:42 INFO     All baseline experiments done!
