2023-07-23 06:52:33 INFO     Start experiments with Namespace(dataset='citeseer', model='gcn', method=['symrr'], grid_search=True, use_dense_model=False, eps=[1, 2])
2023-07-23 06:52:52 INFO     Using device: cuda
2023-07-23 06:52:52 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 06:52:52 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 06:52:52 INFO     [symrr: gcn on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 06:52:52 INFO     [symrr: gcn on citeseer with eps=1] Start grid search for hyperparameter tuning.
2023-07-23 07:00:04 INFO     [symrr: gcn on citeseer with eps=1] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.741478395462036
2023-07-23 07:00:04 INFO     [symrr: gcn on citeseer with eps=1] Saving best hp to output/bl_best_hp.json
2023-07-23 07:00:04 INFO     [symrr: gcn on citeseer with eps=2] Start grid search for hyperparameter tuning.
2023-07-23 07:04:46 INFO     [symrr: gcn on citeseer with eps=2] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0} with validation loss 1.7413631916046142
2023-07-23 07:04:46 INFO     [symrr: gcn on citeseer with eps=2] Saving best hp to output/bl_best_hp.json
2023-07-23 07:04:46 INFO     [symrr: gcn on citeseer] Grid search done.
2023-07-23 07:04:46 INFO     Grid search done!
2023-07-23 07:04:46 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 07:04:46 INFO     [symrr: gcn on citeseer] Start running experiments on various epsilons.
2023-07-23 07:04:46 INFO     [symrr: gcn on citeseer with eps=1] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 07:06:08 INFO     [symrr: gcn on citeseer with eps=1] Test accuracy is 0.20432692307692302 (0.003605769230769226).
2023-07-23 07:06:08 INFO     [symrr: gcn on citeseer with eps=1] Saving training results to output/bl_results.json
2023-07-23 07:06:08 INFO     [symrr: gcn on citeseer with eps=2] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 0}.
2023-07-23 07:07:03 INFO     [symrr: gcn on citeseer with eps=2] Test accuracy is 0.20356570512820507 (0.005581578010527738).
2023-07-23 07:07:03 INFO     [symrr: gcn on citeseer with eps=2] Saving training results to output/bl_results.json
2023-07-23 07:07:03 INFO     [symrr: gcn on citeseer] Experiments done.
2023-07-23 07:07:03 INFO     All baseline experiments done!
