2023-07-23 06:04:01 INFO     Start experiments with Namespace(dataset='citeseer', model='gat', method=['ldpgen'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 06:04:04 INFO     Using device: cuda
2023-07-23 06:04:04 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 06:04:04 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 06:04:04 INFO     [ldpgen: gat on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 06:04:04 INFO     [ldpgen: gat on citeseer with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 06:12:05 INFO     [ldpgen: gat on citeseer with eps=7] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.001} with validation loss 1.5417619228363038
2023-07-23 06:12:05 INFO     [ldpgen: gat on citeseer with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 06:12:05 INFO     [ldpgen: gat on citeseer with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 06:20:11 INFO     [ldpgen: gat on citeseer with eps=8] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.001} with validation loss 1.5176653146743775
2023-07-23 06:20:11 INFO     [ldpgen: gat on citeseer with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 06:20:11 INFO     [ldpgen: gat on citeseer] Grid search done.
2023-07-23 06:20:11 INFO     Grid search done!
2023-07-23 06:20:11 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 06:20:11 INFO     [ldpgen: gat on citeseer] Start running experiments on various epsilons.
2023-07-23 06:20:11 INFO     [ldpgen: gat on citeseer with eps=7] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 06:21:42 INFO     [ldpgen: gat on citeseer with eps=7] Test accuracy is 0.3909054487179488 (0.018356224572150668).
2023-07-23 06:21:42 INFO     [ldpgen: gat on citeseer with eps=7] Saving training results to output/bl_results.json
2023-07-23 06:21:42 INFO     [ldpgen: gat on citeseer with eps=8] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 06:23:13 INFO     [ldpgen: gat on citeseer with eps=8] Test accuracy is 0.3951522435897435 (0.0169315751322902).
2023-07-23 06:23:13 INFO     [ldpgen: gat on citeseer with eps=8] Saving training results to output/bl_results.json
2023-07-23 06:23:13 INFO     [ldpgen: gat on citeseer] Experiments done.
2023-07-23 06:23:13 INFO     All baseline experiments done!
