2023-07-23 10:51:09 INFO     Start experiments with Namespace(dataset='citeseer', model='graphsage', method=['ldpgen'], grid_search=True, use_dense_model=False, eps=[5, 6])
2023-07-23 10:51:14 INFO     Using device: cuda
2023-07-23 10:51:14 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 10:51:14 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 10:51:14 INFO     [ldpgen: graphsage on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 10:51:14 INFO     [ldpgen: graphsage on citeseer with eps=5] Start grid search for hyperparameter tuning.
2023-07-23 10:56:02 INFO     [ldpgen: graphsage on citeseer with eps=5] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001} with validation loss 0.8965702533721924
2023-07-23 10:56:02 INFO     [ldpgen: graphsage on citeseer with eps=5] Saving best hp to output/bl_best_hp.json
2023-07-23 10:56:02 INFO     [ldpgen: graphsage on citeseer with eps=6] Start grid search for hyperparameter tuning.
2023-07-23 11:00:51 INFO     [ldpgen: graphsage on citeseer with eps=6] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0.001} with validation loss 0.9000917553901673
2023-07-23 11:00:51 INFO     [ldpgen: graphsage on citeseer with eps=6] Saving best hp to output/bl_best_hp.json
2023-07-23 11:00:51 INFO     [ldpgen: graphsage on citeseer] Grid search done.
2023-07-23 11:00:51 INFO     Grid search done!
2023-07-23 11:00:51 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 11:00:51 INFO     [ldpgen: graphsage on citeseer] Start running experiments on various epsilons.
2023-07-23 11:00:51 INFO     [ldpgen: graphsage on citeseer with eps=5] Run with best hp found: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001}.
2023-07-23 11:01:46 INFO     [ldpgen: graphsage on citeseer with eps=5] Test accuracy is 0.7114583333333335 (0.00797225307649684).
2023-07-23 11:01:46 INFO     [ldpgen: graphsage on citeseer with eps=5] Saving training results to output/bl_results.json
2023-07-23 11:01:46 INFO     [ldpgen: graphsage on citeseer with eps=6] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 11:02:39 INFO     [ldpgen: graphsage on citeseer with eps=6] Test accuracy is 0.732532051282051 (0.007824715138290831).
2023-07-23 11:02:39 INFO     [ldpgen: graphsage on citeseer with eps=6] Saving training results to output/bl_results.json
2023-07-23 11:02:39 INFO     [ldpgen: graphsage on citeseer] Experiments done.
2023-07-23 11:02:39 INFO     All baseline experiments done!
