2023-07-23 13:52:56 INFO     Start experiments with Namespace(dataset='citeseer', model='gcn', method=['dprr'], grid_search=True, use_dense_model=False, eps=[3, 4])
2023-07-23 13:52:58 INFO     Using device: cuda
2023-07-23 13:52:58 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 13:52:58 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 13:52:58 INFO     [dprr: gcn on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 13:52:58 INFO     [dprr: gcn on citeseer with eps=3] Start grid search for hyperparameter tuning.
2023-07-23 13:58:57 INFO     [dprr: gcn on citeseer with eps=3] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.7205090999603272
2023-07-23 13:58:57 INFO     [dprr: gcn on citeseer with eps=3] Saving best hp to output/bl_best_hp.json
2023-07-23 13:58:57 INFO     [dprr: gcn on citeseer with eps=4] Start grid search for hyperparameter tuning.
2023-07-23 14:04:57 INFO     [dprr: gcn on citeseer with eps=4] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.6936104536056518
2023-07-23 14:04:57 INFO     [dprr: gcn on citeseer with eps=4] Saving best hp to output/bl_best_hp.json
2023-07-23 14:04:57 INFO     [dprr: gcn on citeseer] Grid search done.
2023-07-23 14:04:57 INFO     Grid search done!
2023-07-23 14:04:57 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 14:04:57 INFO     [dprr: gcn on citeseer] Start running experiments on various epsilons.
2023-07-23 14:04:57 INFO     [dprr: gcn on citeseer with eps=3] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 14:06:04 INFO     [dprr: gcn on citeseer with eps=3] Test accuracy is 0.24142628205128205 (0.013884625002956159).
2023-07-23 14:06:04 INFO     [dprr: gcn on citeseer with eps=3] Saving training results to output/bl_results.json
2023-07-23 14:06:04 INFO     [dprr: gcn on citeseer with eps=4] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 14:07:12 INFO     [dprr: gcn on citeseer with eps=4] Test accuracy is 0.2689102564102564 (0.01733975099530625).
2023-07-23 14:07:12 INFO     [dprr: gcn on citeseer with eps=4] Saving training results to output/bl_results.json
2023-07-23 14:07:12 INFO     [dprr: gcn on citeseer] Experiments done.
2023-07-23 14:07:12 INFO     All baseline experiments done!
