2023-07-23 20:19:15 INFO     Start experiments with Namespace(dataset='citeseer', model='gcn', method=['symrr'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 20:19:30 INFO     Using device: cuda
2023-07-23 20:19:31 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 20:19:31 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 20:19:31 INFO     [symrr: gcn on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 20:19:31 INFO     [symrr: gcn on citeseer with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 20:23:37 INFO     [symrr: gcn on citeseer with eps=7] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.9370854258537292
2023-07-23 20:23:37 INFO     [symrr: gcn on citeseer with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 20:23:37 INFO     [symrr: gcn on citeseer with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 20:27:22 INFO     [symrr: gcn on citeseer with eps=8] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.8293742418289185
2023-07-23 20:27:22 INFO     [symrr: gcn on citeseer with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 20:27:22 INFO     [symrr: gcn on citeseer] Grid search done.
2023-07-23 20:27:22 INFO     Grid search done!
2023-07-23 20:27:22 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 20:27:22 INFO     [symrr: gcn on citeseer] Start running experiments on various epsilons.
2023-07-23 20:27:22 INFO     [symrr: gcn on citeseer with eps=7] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 20:28:05 INFO     [symrr: gcn on citeseer with eps=7] Test accuracy is 0.6876201923076922 (0.01685937232944046).
2023-07-23 20:28:05 INFO     [symrr: gcn on citeseer with eps=7] Saving training results to output/bl_results.json
2023-07-23 20:28:05 INFO     [symrr: gcn on citeseer with eps=8] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 20:28:48 INFO     [symrr: gcn on citeseer with eps=8] Test accuracy is 0.7345352564102563 (0.009910015919064288).
2023-07-23 20:28:48 INFO     [symrr: gcn on citeseer with eps=8] Saving training results to output/bl_results.json
2023-07-23 20:28:48 INFO     [symrr: gcn on citeseer] Experiments done.
2023-07-23 20:28:48 INFO     All baseline experiments done!
