2023-07-23 04:57:46 INFO     Start experiments with Namespace(dataset='cora', model='graphsage', method=['dprr'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 04:57:48 INFO     Using device: cuda
2023-07-23 04:57:48 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 04:57:48 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 04:57:48 INFO     [dprr: graphsage on cora] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 04:57:48 INFO     [dprr: graphsage on cora with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 05:02:19 INFO     [dprr: graphsage on cora with eps=7] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.6970439910888672
2023-07-23 05:02:19 INFO     [dprr: graphsage on cora with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 05:02:19 INFO     [dprr: graphsage on cora with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 05:06:53 INFO     [dprr: graphsage on cora with eps=8] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.6182767629623414
2023-07-23 05:06:53 INFO     [dprr: graphsage on cora with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 05:06:53 INFO     [dprr: graphsage on cora] Grid search done.
2023-07-23 05:06:53 INFO     Grid search done!
2023-07-23 05:06:53 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 05:06:53 INFO     [dprr: graphsage on cora] Start running experiments on various epsilons.
2023-07-23 05:06:53 INFO     [dprr: graphsage on cora with eps=7] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 05:07:43 INFO     [dprr: graphsage on cora with eps=7] Test accuracy is 0.742983751846381 (0.011158416917156312).
2023-07-23 05:07:43 INFO     [dprr: graphsage on cora with eps=7] Saving training results to output/bl_results.json
2023-07-23 05:07:43 INFO     [dprr: graphsage on cora with eps=8] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 05:08:35 INFO     [dprr: graphsage on cora with eps=8] Test accuracy is 0.78301329394387 (0.013550508531528428).
2023-07-23 05:08:35 INFO     [dprr: graphsage on cora with eps=8] Saving training results to output/bl_results.json
2023-07-23 05:08:35 INFO     [dprr: graphsage on cora] Experiments done.
2023-07-23 05:08:35 INFO     All baseline experiments done!
