2023-07-23 09:01:33 INFO     Start experiments with Namespace(dataset='citeseer', model='graphsage', method=['dprr'], grid_search=True, use_dense_model=False, eps=[3, 4])
2023-07-23 09:01:38 INFO     Using device: cuda
2023-07-23 09:01:38 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 09:01:38 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 09:01:38 INFO     [dprr: graphsage on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 09:01:38 INFO     [dprr: graphsage on citeseer with eps=3] Start grid search for hyperparameter tuning.
2023-07-23 09:06:23 INFO     [dprr: graphsage on citeseer with eps=3] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001} with validation loss 0.8754256844520569
2023-07-23 09:06:23 INFO     [dprr: graphsage on citeseer with eps=3] Saving best hp to output/bl_best_hp.json
2023-07-23 09:06:23 INFO     [dprr: graphsage on citeseer with eps=4] Start grid search for hyperparameter tuning.
2023-07-23 09:10:56 INFO     [dprr: graphsage on citeseer with eps=4] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001} with validation loss 0.87882399559021
2023-07-23 09:10:56 INFO     [dprr: graphsage on citeseer with eps=4] Saving best hp to output/bl_best_hp.json
2023-07-23 09:10:56 INFO     [dprr: graphsage on citeseer] Grid search done.
2023-07-23 09:10:56 INFO     Grid search done!
2023-07-23 09:10:56 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 09:10:56 INFO     [dprr: graphsage on citeseer] Start running experiments on various epsilons.
2023-07-23 09:10:56 INFO     [dprr: graphsage on citeseer with eps=3] Run with best hp found: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001}.
2023-07-23 09:11:49 INFO     [dprr: graphsage on citeseer with eps=3] Test accuracy is 0.7188701923076924 (0.007926315910479587).
2023-07-23 09:11:49 INFO     [dprr: graphsage on citeseer with eps=3] Saving training results to output/bl_results.json
2023-07-23 09:11:49 INFO     [dprr: graphsage on citeseer with eps=4] Run with best hp found: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001}.
2023-07-23 09:12:41 INFO     [dprr: graphsage on citeseer with eps=4] Test accuracy is 0.7202724358974361 (0.008683472553938492).
2023-07-23 09:12:41 INFO     [dprr: graphsage on citeseer with eps=4] Saving training results to output/bl_results.json
2023-07-23 09:12:41 INFO     [dprr: graphsage on citeseer] Experiments done.
2023-07-23 09:12:41 INFO     All baseline experiments done!
