2023-07-23 03:04:05 INFO     Start experiments with Namespace(dataset='lastfm', model='graphsage', method=['dprr'], grid_search=True, use_dense_model=False, eps=[5, 6])
2023-07-23 03:04:19 INFO     Using device: cuda
2023-07-23 03:04:19 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 03:04:19 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 03:04:19 INFO     [dprr: graphsage on lastfm] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 03:04:19 INFO     [dprr: graphsage on lastfm with eps=5] Start grid search for hyperparameter tuning.
2023-07-23 03:08:53 INFO     [dprr: graphsage on lastfm with eps=5] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.056089425086975
2023-07-23 03:08:53 INFO     [dprr: graphsage on lastfm with eps=5] Saving best hp to output/bl_best_hp.json
2023-07-23 03:08:53 INFO     [dprr: graphsage on lastfm with eps=6] Start grid search for hyperparameter tuning.
2023-07-23 03:13:17 INFO     [dprr: graphsage on lastfm with eps=6] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 1e-05} with validation loss 1.0475167989730836
2023-07-23 03:13:17 INFO     [dprr: graphsage on lastfm with eps=6] Saving best hp to output/bl_best_hp.json
2023-07-23 03:13:17 INFO     [dprr: graphsage on lastfm] Grid search done.
2023-07-23 03:13:17 INFO     Grid search done!
2023-07-23 03:13:17 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 03:13:17 INFO     [dprr: graphsage on lastfm] Start running experiments on various epsilons.
2023-07-23 03:13:17 INFO     [dprr: graphsage on lastfm with eps=5] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 03:14:08 INFO     [dprr: graphsage on lastfm with eps=5] Test accuracy is 0.6877229800629591 (0.022686228049810193).
2023-07-23 03:14:08 INFO     [dprr: graphsage on lastfm with eps=5] Saving training results to output/bl_results.json
2023-07-23 03:14:08 INFO     [dprr: graphsage on lastfm with eps=6] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 03:14:59 INFO     [dprr: graphsage on lastfm with eps=6] Test accuracy is 0.7021336131514513 (0.03387957521489772).
2023-07-23 03:14:59 INFO     [dprr: graphsage on lastfm with eps=6] Saving training results to output/bl_results.json
2023-07-23 03:14:59 INFO     [dprr: graphsage on lastfm] Experiments done.
2023-07-23 03:14:59 INFO     All baseline experiments done!
