2023-07-23 13:24:07 INFO     Start experiments with Namespace(dataset='lastfm', model='gcn', method=['symrr'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 13:24:19 INFO     Using device: cuda
2023-07-23 13:24:19 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 13:24:19 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 13:24:19 INFO     [symrr: gcn on lastfm] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 13:24:19 INFO     [symrr: gcn on lastfm with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 13:28:49 INFO     [symrr: gcn on lastfm with eps=7] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0} with validation loss 1.1021909236907959
2023-07-23 13:28:49 INFO     [symrr: gcn on lastfm with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 13:28:49 INFO     [symrr: gcn on lastfm with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 13:33:09 INFO     [symrr: gcn on lastfm with eps=8] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 1e-05} with validation loss 0.8819276809692382
2023-07-23 13:33:09 INFO     [symrr: gcn on lastfm with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 13:33:09 INFO     [symrr: gcn on lastfm] Grid search done.
2023-07-23 13:33:09 INFO     Grid search done!
2023-07-23 13:33:09 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 13:33:09 INFO     [symrr: gcn on lastfm] Start running experiments on various epsilons.
2023-07-23 13:33:09 INFO     [symrr: gcn on lastfm with eps=7] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0}.
2023-07-23 13:34:00 INFO     [symrr: gcn on lastfm with eps=7] Test accuracy is 0.6541273172437915 (0.04456342725200423).
2023-07-23 13:34:00 INFO     [symrr: gcn on lastfm with eps=7] Saving training results to output/bl_results.json
2023-07-23 13:34:00 INFO     [symrr: gcn on lastfm with eps=8] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 13:34:47 INFO     [symrr: gcn on lastfm with eps=8] Test accuracy is 0.7550367261280168 (0.01464563067194315).
2023-07-23 13:34:47 INFO     [symrr: gcn on lastfm with eps=8] Saving training results to output/bl_results.json
2023-07-23 13:34:47 INFO     [symrr: gcn on lastfm] Experiments done.
2023-07-23 13:34:47 INFO     All baseline experiments done!
