2023-07-23 03:02:18 INFO     Start experiments with Namespace(dataset='lastfm', model='graphsage', method=['dprr'], grid_search=True, use_dense_model=False, eps=[1, 2])
2023-07-23 03:02:24 INFO     Using device: cuda
2023-07-23 03:02:24 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 03:02:24 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 03:02:24 INFO     [dprr: graphsage on lastfm] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 03:02:24 INFO     [dprr: graphsage on lastfm with eps=1] Start grid search for hyperparameter tuning.
2023-07-23 03:08:52 INFO     [dprr: graphsage on lastfm with eps=1] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 1e-05} with validation loss 1.0780929327011108
2023-07-23 03:08:52 INFO     [dprr: graphsage on lastfm with eps=1] Saving best hp to output/bl_best_hp.json
2023-07-23 03:08:52 INFO     [dprr: graphsage on lastfm with eps=2] Start grid search for hyperparameter tuning.
2023-07-23 03:14:51 INFO     [dprr: graphsage on lastfm with eps=2] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.114524483680725
2023-07-23 03:14:51 INFO     [dprr: graphsage on lastfm with eps=2] Saving best hp to output/bl_best_hp.json
2023-07-23 03:14:51 INFO     [dprr: graphsage on lastfm] Grid search done.
2023-07-23 03:14:51 INFO     Grid search done!
2023-07-23 03:14:51 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 03:14:51 INFO     [dprr: graphsage on lastfm] Start running experiments on various epsilons.
2023-07-23 03:14:51 INFO     [dprr: graphsage on lastfm with eps=1] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 03:16:05 INFO     [dprr: graphsage on lastfm with eps=1] Test accuracy is 0.6868485484435117 (0.017421908391504506).
2023-07-23 03:16:05 INFO     [dprr: graphsage on lastfm with eps=1] Saving training results to output/bl_results.json
2023-07-23 03:16:05 INFO     [dprr: graphsage on lastfm with eps=2] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 03:17:13 INFO     [dprr: graphsage on lastfm with eps=2] Test accuracy is 0.6671038824763903 (0.06083401357219608).
2023-07-23 03:17:13 INFO     [dprr: graphsage on lastfm with eps=2] Saving training results to output/bl_results.json
2023-07-23 03:17:13 INFO     [dprr: graphsage on lastfm] Experiments done.
2023-07-23 03:17:13 INFO     All baseline experiments done!
