2023-07-23 08:01:08 INFO     Start experiments with Namespace(dataset='cora', model='graphsage', method=['symrr'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 08:01:10 INFO     Using device: cuda
2023-07-23 08:01:10 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 08:01:10 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 08:01:10 INFO     [symrr: graphsage on cora] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 08:01:10 INFO     [symrr: graphsage on cora with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 08:03:29 INFO     [symrr: graphsage on cora with eps=7] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.5461962103843689
2023-07-23 08:03:29 INFO     [symrr: graphsage on cora with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 08:03:29 INFO     [symrr: graphsage on cora with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 08:05:39 INFO     [symrr: graphsage on cora with eps=8] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 1e-05} with validation loss 0.49103633761405946
2023-07-23 08:05:39 INFO     [symrr: graphsage on cora with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 08:05:39 INFO     [symrr: graphsage on cora] Grid search done.
2023-07-23 08:05:39 INFO     Grid search done!
2023-07-23 08:05:39 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 08:05:39 INFO     [symrr: graphsage on cora] Start running experiments on various epsilons.
2023-07-23 08:05:39 INFO     [symrr: graphsage on cora with eps=7] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 08:06:08 INFO     [symrr: graphsage on cora with eps=7] Test accuracy is 0.8029542097488921 (0.009431905485336237).
2023-07-23 08:06:08 INFO     [symrr: graphsage on cora with eps=7] Saving training results to output/bl_results.json
2023-07-23 08:06:08 INFO     [symrr: graphsage on cora with eps=8] Run with best hp found: {'do': 0.1, 'lr': 0.01, 'wd': 1e-05}.
2023-07-23 08:06:36 INFO     [symrr: graphsage on cora with eps=8] Test accuracy is 0.8381585425898571 (0.008711023450224674).
2023-07-23 08:06:36 INFO     [symrr: graphsage on cora with eps=8] Saving training results to output/bl_results.json
2023-07-23 08:06:36 INFO     [symrr: graphsage on cora] Experiments done.
2023-07-23 08:06:36 INFO     All baseline experiments done!
