2023-07-23 16:26:04 INFO     Start experiments with Namespace(dataset='facebook', model='graphsage', method=['dprr'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 16:26:13 INFO     Using device: cuda
2023-07-23 16:26:13 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 16:26:13 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 16:26:13 INFO     [dprr: graphsage on facebook] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 16:26:13 INFO     [dprr: graphsage on facebook with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 16:42:21 INFO     [dprr: graphsage on facebook with eps=7] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.5633075833320618
2023-07-23 16:42:21 INFO     [dprr: graphsage on facebook with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 16:42:21 INFO     [dprr: graphsage on facebook with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 16:58:27 INFO     [dprr: graphsage on facebook with eps=8] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05} with validation loss 0.5197840571403504
2023-07-23 16:58:27 INFO     [dprr: graphsage on facebook with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 16:58:27 INFO     [dprr: graphsage on facebook] Grid search done.
2023-07-23 16:58:27 INFO     Grid search done!
2023-07-23 16:58:27 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 16:58:27 INFO     [dprr: graphsage on facebook] Start running experiments on various epsilons.
2023-07-23 16:58:27 INFO     [dprr: graphsage on facebook with eps=7] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 17:01:26 INFO     [dprr: graphsage on facebook with eps=7] Test accuracy is 0.785427791622167 (0.0028445501572365796).
2023-07-23 17:01:26 INFO     [dprr: graphsage on facebook with eps=7] Saving training results to output/bl_results.json
2023-07-23 17:01:26 INFO     [dprr: graphsage on facebook with eps=8] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 17:04:29 INFO     [dprr: graphsage on facebook with eps=8] Test accuracy is 0.8049009137296784 (0.0033794664789514837).
2023-07-23 17:04:29 INFO     [dprr: graphsage on facebook with eps=8] Saving training results to output/bl_results.json
2023-07-23 17:04:29 INFO     [dprr: graphsage on facebook] Experiments done.
2023-07-23 17:04:29 INFO     All baseline experiments done!
