2023-07-23 13:06:57 INFO     Start experiments with Namespace(dataset='lastfm', model='gat', method=['ldpgen'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 13:07:03 INFO     Using device: cuda
2023-07-23 13:07:03 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 13:07:03 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 13:07:03 INFO     [ldpgen: gat on lastfm] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 13:07:03 INFO     [ldpgen: gat on lastfm with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 13:16:26 INFO     [ldpgen: gat on lastfm with eps=7] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05} with validation loss 2.23181037902832
2023-07-23 13:16:26 INFO     [ldpgen: gat on lastfm with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 13:16:26 INFO     [ldpgen: gat on lastfm with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 13:25:48 INFO     [ldpgen: gat on lastfm with eps=8] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0.0001} with validation loss 2.2481565475463867
2023-07-23 13:25:48 INFO     [ldpgen: gat on lastfm with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 13:25:48 INFO     [ldpgen: gat on lastfm] Grid search done.
2023-07-23 13:25:48 INFO     Grid search done!
2023-07-23 13:25:48 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 13:25:48 INFO     [ldpgen: gat on lastfm] Start running experiments on various epsilons.
2023-07-23 13:25:48 INFO     [ldpgen: gat on lastfm with eps=7] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 13:27:34 INFO     [ldpgen: gat on lastfm with eps=7] Test accuracy is 0.26883525708289613 (0.028739501203467348).
2023-07-23 13:27:34 INFO     [ldpgen: gat on lastfm with eps=7] Saving training results to output/bl_results.json
2023-07-23 13:27:34 INFO     [ldpgen: gat on lastfm with eps=8] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 13:29:19 INFO     [ldpgen: gat on lastfm with eps=8] Test accuracy is 0.2700769499825114 (0.026827362572125528).
2023-07-23 13:29:19 INFO     [ldpgen: gat on lastfm with eps=8] Saving training results to output/bl_results.json
2023-07-23 13:29:19 INFO     [ldpgen: gat on lastfm] Experiments done.
2023-07-23 13:29:19 INFO     All baseline experiments done!
