2023-07-23 15:05:04 INFO     Start experiments with Namespace(dataset='citeseer', model='gat', method=['dprr'], grid_search=True, use_dense_model=False, eps=[3, 4])
2023-07-23 15:05:09 INFO     Using device: cuda
2023-07-23 15:05:09 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 15:05:09 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 15:05:09 INFO     [dprr: gat on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 15:05:09 INFO     [dprr: gat on citeseer with eps=3] Start grid search for hyperparameter tuning.
2023-07-23 15:13:19 INFO     [dprr: gat on citeseer with eps=3] Best hparam is: {'do': 0, 'lr': 0.01, 'wd': 0.0001} with validation loss 1.7173660755157472
2023-07-23 15:13:19 INFO     [dprr: gat on citeseer with eps=3] Saving best hp to output/bl_best_hp.json
2023-07-23 15:13:19 INFO     [dprr: gat on citeseer with eps=4] Start grid search for hyperparameter tuning.
2023-07-23 15:21:26 INFO     [dprr: gat on citeseer with eps=4] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.6859284400939942
2023-07-23 15:21:26 INFO     [dprr: gat on citeseer with eps=4] Saving best hp to output/bl_best_hp.json
2023-07-23 15:21:26 INFO     [dprr: gat on citeseer] Grid search done.
2023-07-23 15:21:26 INFO     Grid search done!
2023-07-23 15:21:26 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 15:21:26 INFO     [dprr: gat on citeseer] Start running experiments on various epsilons.
2023-07-23 15:21:26 INFO     [dprr: gat on citeseer with eps=3] Run with best hp found: {'do': 0, 'lr': 0.01, 'wd': 0.0001}.
2023-07-23 15:22:58 INFO     [dprr: gat on citeseer with eps=3] Test accuracy is 0.2506410256410257 (0.015397547315935827).
2023-07-23 15:22:58 INFO     [dprr: gat on citeseer with eps=3] Saving training results to output/bl_results.json
2023-07-23 15:22:58 INFO     [dprr: gat on citeseer with eps=4] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 15:24:30 INFO     [dprr: gat on citeseer with eps=4] Test accuracy is 0.2772035256410257 (0.01401149985639203).
2023-07-23 15:24:30 INFO     [dprr: gat on citeseer with eps=4] Saving training results to output/bl_results.json
2023-07-23 15:24:30 INFO     [dprr: gat on citeseer] Experiments done.
2023-07-23 15:24:30 INFO     All baseline experiments done!
