2023-07-23 20:22:03 INFO     Start experiments with Namespace(dataset='facebook', model='graphsage', method=['symrr'], grid_search=True, use_dense_model=True, eps=[1, 2])
2023-07-23 20:22:13 INFO     Using device: cuda
2023-07-23 20:22:13 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 20:22:13 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 20:22:13 INFO     [symrr: graphsage on facebook] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 20:22:13 INFO     [symrr: graphsage on facebook with eps=1] Start grid search for hyperparameter tuning.
2023-07-23 20:59:45 INFO     [symrr: graphsage on facebook with eps=1] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 1e-05} with validation loss 0.6085660457611084
2023-07-23 20:59:45 INFO     [symrr: graphsage on facebook with eps=1] Saving best hp to output/bl_best_hp.json
2023-07-23 20:59:45 INFO     [symrr: graphsage on facebook with eps=2] Start grid search for hyperparameter tuning.
2023-07-23 21:32:28 INFO     [symrr: graphsage on facebook with eps=2] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.6131440877914429
2023-07-23 21:32:28 INFO     [symrr: graphsage on facebook with eps=2] Saving best hp to output/bl_best_hp.json
2023-07-23 21:32:28 INFO     [symrr: graphsage on facebook] Grid search done.
2023-07-23 21:32:28 INFO     Grid search done!
2023-07-23 21:32:28 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 21:32:28 INFO     [symrr: graphsage on facebook] Start running experiments on various epsilons.
2023-07-23 21:32:28 INFO     [symrr: graphsage on facebook with eps=1] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 1e-05}.
2023-07-23 21:41:42 INFO     [symrr: graphsage on facebook with eps=1] Test accuracy is 0.7623590838969977 (0.002256655351516286).
2023-07-23 21:41:42 INFO     [symrr: graphsage on facebook with eps=1] Saving training results to output/bl_results.json
2023-07-23 21:41:42 INFO     [symrr: graphsage on facebook with eps=2] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 21:50:06 INFO     [symrr: graphsage on facebook with eps=2] Test accuracy is 0.7578913017681261 (0.00562640767304881).
2023-07-23 21:50:06 INFO     [symrr: graphsage on facebook with eps=2] Saving training results to output/bl_results.json
2023-07-23 21:50:06 INFO     [symrr: graphsage on facebook] Experiments done.
2023-07-23 21:50:06 INFO     All baseline experiments done!
