2023-07-23 04:57:16 INFO     Start experiments with Namespace(dataset='cora', model='gcn', method=['ldpgen'], grid_search=True, use_dense_model=False, eps=[5, 6])
2023-07-23 04:57:21 INFO     Using device: cuda
2023-07-23 04:57:21 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 04:57:21 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 04:57:21 INFO     [ldpgen: gcn on cora] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 04:57:21 INFO     [ldpgen: gcn on cora with eps=5] Start grid search for hyperparameter tuning.
2023-07-23 05:03:22 INFO     [ldpgen: gcn on cora with eps=5] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0.001} with validation loss 1.7397478580474854
2023-07-23 05:03:22 INFO     [ldpgen: gcn on cora with eps=5] Saving best hp to output/bl_best_hp.json
2023-07-23 05:03:22 INFO     [ldpgen: gcn on cora with eps=6] Start grid search for hyperparameter tuning.
2023-07-23 05:09:23 INFO     [ldpgen: gcn on cora with eps=6] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.001} with validation loss 1.7391567945480346
2023-07-23 05:09:23 INFO     [ldpgen: gcn on cora with eps=6] Saving best hp to output/bl_best_hp.json
2023-07-23 05:09:23 INFO     [ldpgen: gcn on cora] Grid search done.
2023-07-23 05:09:23 INFO     Grid search done!
2023-07-23 05:09:23 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 05:09:23 INFO     [ldpgen: gcn on cora] Start running experiments on various epsilons.
2023-07-23 05:09:23 INFO     [ldpgen: gcn on cora with eps=5] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 05:10:29 INFO     [ldpgen: gcn on cora with eps=5] Test accuracy is 0.3431806991629739 (0.018626885303634655).
2023-07-23 05:10:29 INFO     [ldpgen: gcn on cora with eps=5] Saving training results to output/bl_results.json
2023-07-23 05:10:29 INFO     [ldpgen: gcn on cora with eps=6] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 05:11:37 INFO     [ldpgen: gcn on cora with eps=6] Test accuracy is 0.34510093549975385 (0.012087516206890822).
2023-07-23 05:11:37 INFO     [ldpgen: gcn on cora with eps=6] Saving training results to output/bl_results.json
2023-07-23 05:11:37 INFO     [ldpgen: gcn on cora] Experiments done.
2023-07-23 05:11:37 INFO     All baseline experiments done!
