2023-07-23 06:01:44 INFO     Start experiments with Namespace(dataset='citeseer', model='graphsage', method=['dprr'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 06:01:50 INFO     Using device: cuda
2023-07-23 06:01:50 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 06:01:50 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 06:01:50 INFO     [dprr: graphsage on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 06:01:50 INFO     [dprr: graphsage on citeseer with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 06:06:09 INFO     [dprr: graphsage on citeseer with eps=7] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0.001} with validation loss 0.8698917627334595
2023-07-23 06:06:09 INFO     [dprr: graphsage on citeseer with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 06:06:09 INFO     [dprr: graphsage on citeseer with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 06:10:22 INFO     [dprr: graphsage on citeseer with eps=8] Best hparam is: {'do': 0, 'lr': 0.1, 'wd': 0.001} with validation loss 0.8370253801345825
2023-07-23 06:10:22 INFO     [dprr: graphsage on citeseer with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 06:10:22 INFO     [dprr: graphsage on citeseer] Grid search done.
2023-07-23 06:10:22 INFO     Grid search done!
2023-07-23 06:10:22 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 06:10:22 INFO     [dprr: graphsage on citeseer] Start running experiments on various epsilons.
2023-07-23 06:10:22 INFO     [dprr: graphsage on citeseer with eps=7] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 06:11:10 INFO     [dprr: graphsage on citeseer with eps=7] Test accuracy is 0.7358573717948718 (0.007081379712316893).
2023-07-23 06:11:10 INFO     [dprr: graphsage on citeseer with eps=7] Saving training results to output/bl_results.json
2023-07-23 06:11:10 INFO     [dprr: graphsage on citeseer with eps=8] Run with best hp found: {'do': 0, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 06:12:00 INFO     [dprr: graphsage on citeseer with eps=8] Test accuracy is 0.7430288461538461 (0.006907311554379906).
2023-07-23 06:12:00 INFO     [dprr: graphsage on citeseer with eps=8] Saving training results to output/bl_results.json
2023-07-23 06:12:00 INFO     [dprr: graphsage on citeseer] Experiments done.
2023-07-23 06:12:00 INFO     All baseline experiments done!
