2023-07-23 20:44:14 INFO     Start experiments with Namespace(dataset='cora', model='gat', method=['dprr'], grid_search=True, use_dense_model=False, eps=[5, 6])
2023-07-23 20:44:19 INFO     Using device: cuda
2023-07-23 20:44:19 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 20:44:19 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 20:44:19 INFO     [dprr: gat on cora] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 20:44:19 INFO     [dprr: gat on cora with eps=5] Start grid search for hyperparameter tuning.
2023-07-23 20:52:46 INFO     [dprr: gat on cora with eps=5] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.6514790296554565
2023-07-23 20:52:46 INFO     [dprr: gat on cora with eps=5] Saving best hp to output/bl_best_hp.json
2023-07-23 20:52:46 INFO     [dprr: gat on cora with eps=6] Start grid search for hyperparameter tuning.
2023-07-23 21:01:16 INFO     [dprr: gat on cora with eps=6] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001} with validation loss 1.4818949460983277
2023-07-23 21:01:16 INFO     [dprr: gat on cora with eps=6] Saving best hp to output/bl_best_hp.json
2023-07-23 21:01:16 INFO     [dprr: gat on cora] Grid search done.
2023-07-23 21:01:16 INFO     Grid search done!
2023-07-23 21:01:16 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 21:01:16 INFO     [dprr: gat on cora] Start running experiments on various epsilons.
2023-07-23 21:01:16 INFO     [dprr: gat on cora with eps=5] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 21:02:49 INFO     [dprr: gat on cora with eps=5] Test accuracy is 0.3741999015263417 (0.019507977183462453).
2023-07-23 21:02:49 INFO     [dprr: gat on cora with eps=5] Saving training results to output/bl_results.json
2023-07-23 21:02:49 INFO     [dprr: gat on cora with eps=6] Run with best hp found: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001}.
2023-07-23 21:04:24 INFO     [dprr: gat on cora with eps=6] Test accuracy is 0.46395864106351553 (0.020935844825644787).
2023-07-23 21:04:24 INFO     [dprr: gat on cora with eps=6] Saving training results to output/bl_results.json
2023-07-23 21:04:24 INFO     [dprr: gat on cora] Experiments done.
2023-07-23 21:04:24 INFO     All baseline experiments done!
