2023-01-22 21:32:12 INFO     Start experiments with Namespace(dataset='cora', model='gcn', method=['solitude'], grid_search=True, eps=[1, 2, 3, 4, 5, 6, 7, 8])
2023-01-22 21:32:17 INFO     Using device: cuda
2023-01-22 21:32:17 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-01-22 21:32:17 INFO     Grid search. Load hyperparameter space from config.json
2023-01-22 21:32:17 INFO     [solitude: gcn on cora] Grid search for hyperparameter tuning on various epsilons.
2023-01-22 21:32:17 INFO     [solitude: gcn on cora with eps=1] Start grid search for hyperparameter tuning.
2023-01-22 23:43:53 INFO     [solitude: gcn on cora with eps=1] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001, 'lam1': 0.0001, 'lam2': 0.01} with validation loss 1.3092705011367798
2023-01-22 23:43:53 INFO     [solitude: gcn on cora with eps=1] Saving best hp to output/bl_best_hp.json
2023-01-22 23:43:53 INFO     [solitude: gcn on cora with eps=2] Start grid search for hyperparameter tuning.
2023-01-23 01:54:28 INFO     [solitude: gcn on cora with eps=2] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001, 'lam1': 0.0001, 'lam2': 0.01} with validation loss 1.2342331647872924
2023-01-23 01:54:28 INFO     [solitude: gcn on cora with eps=2] Saving best hp to output/bl_best_hp.json
2023-01-23 01:54:28 INFO     [solitude: gcn on cora with eps=3] Start grid search for hyperparameter tuning.
2023-01-23 04:05:02 INFO     [solitude: gcn on cora with eps=3] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001, 'lam1': 0.0001, 'lam2': 0.01} with validation loss 1.086981463432312
2023-01-23 04:05:02 INFO     [solitude: gcn on cora with eps=3] Saving best hp to output/bl_best_hp.json
2023-01-23 04:05:02 INFO     [solitude: gcn on cora with eps=4] Start grid search for hyperparameter tuning.
2023-01-23 06:15:42 INFO     [solitude: gcn on cora with eps=4] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001, 'lam1': 0.0001, 'lam2': 0.01} with validation loss 1.0369214415550232
2023-01-23 06:15:42 INFO     [solitude: gcn on cora with eps=4] Saving best hp to output/bl_best_hp.json
2023-01-23 06:15:42 INFO     [solitude: gcn on cora with eps=5] Start grid search for hyperparameter tuning.
2023-01-23 08:26:27 INFO     [solitude: gcn on cora with eps=5] Best hparam is: {'do': 0.001, 'lr': 0.01, 'wd': 0.0001, 'lam1': 1e-05, 'lam2': 0.01} with validation loss 0.9335734963417053
2023-01-23 08:26:27 INFO     [solitude: gcn on cora with eps=5] Saving best hp to output/bl_best_hp.json
2023-01-23 08:26:27 INFO     [solitude: gcn on cora with eps=6] Start grid search for hyperparameter tuning.
2023-01-23 10:36:52 INFO     [solitude: gcn on cora with eps=6] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001, 'lam1': 0.01, 'lam2': 0.01} with validation loss 0.8857510089874268
2023-01-23 10:36:52 INFO     [solitude: gcn on cora with eps=6] Saving best hp to output/bl_best_hp.json
2023-01-23 10:36:52 INFO     [solitude: gcn on cora with eps=7] Start grid search for hyperparameter tuning.
2023-01-23 12:47:30 INFO     [solitude: gcn on cora with eps=7] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001, 'lam1': 0.01, 'lam2': 0.01} with validation loss 0.8516521453857422
2023-01-23 12:47:30 INFO     [solitude: gcn on cora with eps=7] Saving best hp to output/bl_best_hp.json
2023-01-23 12:47:30 INFO     [solitude: gcn on cora with eps=8] Start grid search for hyperparameter tuning.
