2023-07-23 04:55:28 INFO     Start experiments with Namespace(dataset='citeseer', model='gcn', method=['dprr'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 04:55:33 INFO     Using device: cuda
2023-07-23 04:55:33 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 04:55:33 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 04:55:33 INFO     [dprr: gcn on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 04:55:33 INFO     [dprr: gcn on citeseer with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 05:00:06 INFO     [dprr: gcn on citeseer with eps=7] Best hparam is: {'do': 0, 'lr': 0.01, 'wd': 0.0001} with validation loss 1.3803622722625732
2023-07-23 05:00:06 INFO     [dprr: gcn on citeseer with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 05:00:06 INFO     [dprr: gcn on citeseer with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 05:04:26 INFO     [dprr: gcn on citeseer with eps=8] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001} with validation loss 1.1925156831741333
2023-07-23 05:04:26 INFO     [dprr: gcn on citeseer with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 05:04:26 INFO     [dprr: gcn on citeseer] Grid search done.
2023-07-23 05:04:26 INFO     Grid search done!
2023-07-23 05:04:26 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 05:04:26 INFO     [dprr: gcn on citeseer] Start running experiments on various epsilons.
2023-07-23 05:04:26 INFO     [dprr: gcn on citeseer with eps=7] Run with best hp found: {'do': 0, 'lr': 0.01, 'wd': 0.0001}.
2023-07-23 05:05:15 INFO     [dprr: gcn on citeseer with eps=7] Test accuracy is 0.48990384615384625 (0.012029642925916356).
2023-07-23 05:05:15 INFO     [dprr: gcn on citeseer with eps=7] Saving training results to output/bl_results.json
2023-07-23 05:05:15 INFO     [dprr: gcn on citeseer with eps=8] Run with best hp found: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001}.
2023-07-23 05:06:05 INFO     [dprr: gcn on citeseer with eps=8] Test accuracy is 0.5923477564102565 (0.01490282297632041).
2023-07-23 05:06:05 INFO     [dprr: gcn on citeseer with eps=8] Saving training results to output/bl_results.json
2023-07-23 05:06:05 INFO     [dprr: gcn on citeseer] Experiments done.
2023-07-23 05:06:05 INFO     All baseline experiments done!
