2023-07-23 16:47:11 INFO     Start experiments with Namespace(dataset='citeseer', model='gat', method=['symrr'], grid_search=True, use_dense_model=False, eps=[3, 4])
2023-07-23 16:47:16 INFO     Using device: cuda
2023-07-23 16:47:16 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 16:47:16 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 16:47:16 INFO     [symrr: gat on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 16:47:16 INFO     [symrr: gat on citeseer with eps=3] Start grid search for hyperparameter tuning.
2023-07-23 16:54:36 INFO     [symrr: gat on citeseer with eps=3] Best hparam is: {'do': 0.001, 'lr': 0.01, 'wd': 0} with validation loss 1.6568725824356079
2023-07-23 16:54:36 INFO     [symrr: gat on citeseer with eps=3] Saving best hp to output/bl_best_hp.json
2023-07-23 16:54:36 INFO     [symrr: gat on citeseer with eps=4] Start grid search for hyperparameter tuning.
2023-07-23 17:00:23 INFO     [symrr: gat on citeseer with eps=4] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 1e-05} with validation loss 1.6180866003036498
2023-07-23 17:00:23 INFO     [symrr: gat on citeseer with eps=4] Saving best hp to output/bl_best_hp.json
2023-07-23 17:00:23 INFO     [symrr: gat on citeseer] Grid search done.
2023-07-23 17:00:23 INFO     Grid search done!
2023-07-23 17:00:23 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 17:00:23 INFO     [symrr: gat on citeseer] Start running experiments on various epsilons.
2023-07-23 17:00:23 INFO     [symrr: gat on citeseer with eps=3] Run with best hp found: {'do': 0.001, 'lr': 0.01, 'wd': 0}.
2023-07-23 17:01:46 INFO     [symrr: gat on citeseer with eps=3] Test accuracy is 0.27167467948717944 (0.04308463487541657).
2023-07-23 17:01:46 INFO     [symrr: gat on citeseer with eps=3] Saving training results to output/bl_results.json
2023-07-23 17:01:46 INFO     [symrr: gat on citeseer with eps=4] Run with best hp found: {'do': 0.1, 'lr': 0.01, 'wd': 1e-05}.
2023-07-23 17:02:52 INFO     [symrr: gat on citeseer with eps=4] Test accuracy is 0.3030448717948718 (0.029116543469863976).
2023-07-23 17:02:52 INFO     [symrr: gat on citeseer with eps=4] Saving training results to output/bl_results.json
2023-07-23 17:02:52 INFO     [symrr: gat on citeseer] Experiments done.
2023-07-23 17:02:52 INFO     All baseline experiments done!
