2023-07-23 06:40:46 INFO     Start experiments with Namespace(dataset='citeseer', model='gcn', method=['ldpgen'], grid_search=True, use_dense_model=False, eps=[3, 4])
2023-07-23 06:40:48 INFO     Using device: cuda
2023-07-23 06:40:48 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 06:40:48 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 06:40:48 INFO     [ldpgen: gcn on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 06:40:48 INFO     [ldpgen: gcn on citeseer with eps=3] Start grid search for hyperparameter tuning.
2023-07-23 06:46:43 INFO     [ldpgen: gcn on citeseer with eps=3] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.001} with validation loss 1.6186108350753785
2023-07-23 06:46:43 INFO     [ldpgen: gcn on citeseer with eps=3] Saving best hp to output/bl_best_hp.json
2023-07-23 06:46:43 INFO     [ldpgen: gcn on citeseer with eps=4] Start grid search for hyperparameter tuning.
2023-07-23 06:52:39 INFO     [ldpgen: gcn on citeseer with eps=4] Best hparam is: {'do': 0.001, 'lr': 0.01, 'wd': 0.001} with validation loss 1.6075261592864991
2023-07-23 06:52:39 INFO     [ldpgen: gcn on citeseer with eps=4] Saving best hp to output/bl_best_hp.json
2023-07-23 06:52:39 INFO     [ldpgen: gcn on citeseer] Grid search done.
2023-07-23 06:52:39 INFO     Grid search done!
2023-07-23 06:52:39 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 06:52:39 INFO     [ldpgen: gcn on citeseer] Start running experiments on various epsilons.
2023-07-23 06:52:39 INFO     [ldpgen: gcn on citeseer with eps=3] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 06:53:46 INFO     [ldpgen: gcn on citeseer with eps=3] Test accuracy is 0.3500400641025641 (0.014956364680247457).
2023-07-23 06:53:46 INFO     [ldpgen: gcn on citeseer with eps=3] Saving training results to output/bl_results.json
2023-07-23 06:53:46 INFO     [ldpgen: gcn on citeseer with eps=4] Run with best hp found: {'do': 0.001, 'lr': 0.01, 'wd': 0.001}.
2023-07-23 06:54:53 INFO     [ldpgen: gcn on citeseer with eps=4] Test accuracy is 0.352724358974359 (0.01770742688247389).
2023-07-23 06:54:53 INFO     [ldpgen: gcn on citeseer with eps=4] Saving training results to output/bl_results.json
2023-07-23 06:54:53 INFO     [ldpgen: gcn on citeseer] Experiments done.
2023-07-23 06:54:53 INFO     All baseline experiments done!
