2023-07-23 06:38:55 INFO     Start experiments with Namespace(dataset='citeseer', model='gat', method=['dprr'], grid_search=True, use_dense_model=False, eps=[5, 6])
2023-07-23 06:39:01 INFO     Using device: cuda
2023-07-23 06:39:01 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 06:39:01 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 06:39:01 INFO     [dprr: gat on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 06:39:01 INFO     [dprr: gat on citeseer with eps=5] Start grid search for hyperparameter tuning.
2023-07-23 06:47:31 INFO     [dprr: gat on citeseer with eps=5] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.6453169584274292
2023-07-23 06:47:31 INFO     [dprr: gat on citeseer with eps=5] Saving best hp to output/bl_best_hp.json
2023-07-23 06:47:31 INFO     [dprr: gat on citeseer with eps=6] Start grid search for hyperparameter tuning.
2023-07-23 06:56:05 INFO     [dprr: gat on citeseer with eps=6] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.5668527603149414
2023-07-23 06:56:05 INFO     [dprr: gat on citeseer with eps=6] Saving best hp to output/bl_best_hp.json
2023-07-23 06:56:05 INFO     [dprr: gat on citeseer] Grid search done.
2023-07-23 06:56:05 INFO     Grid search done!
2023-07-23 06:56:05 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 06:56:05 INFO     [dprr: gat on citeseer] Start running experiments on various epsilons.
2023-07-23 06:56:05 INFO     [dprr: gat on citeseer with eps=5] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 06:57:42 INFO     [dprr: gat on citeseer with eps=5] Test accuracy is 0.3239583333333334 (0.01993582658285703).
2023-07-23 06:57:42 INFO     [dprr: gat on citeseer with eps=5] Saving training results to output/bl_results.json
2023-07-23 06:57:42 INFO     [dprr: gat on citeseer with eps=6] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 06:59:17 INFO     [dprr: gat on citeseer with eps=6] Test accuracy is 0.39851762820512815 (0.018663207584127598).
2023-07-23 06:59:17 INFO     [dprr: gat on citeseer with eps=6] Saving training results to output/bl_results.json
2023-07-23 06:59:17 INFO     [dprr: gat on citeseer] Experiments done.
2023-07-23 06:59:17 INFO     All baseline experiments done!
