2023-07-23 13:24:34 INFO     Start experiments with Namespace(dataset='citeseer', model='graphsage', method=['dprr'], grid_search=True, use_dense_model=False, eps=[1, 2])
2023-07-23 13:24:37 INFO     Using device: cuda
2023-07-23 13:24:37 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 13:24:37 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 13:24:37 INFO     [dprr: graphsage on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 13:24:37 INFO     [dprr: graphsage on citeseer with eps=1] Start grid search for hyperparameter tuning.
2023-07-23 13:31:14 INFO     [dprr: graphsage on citeseer with eps=1] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001} with validation loss 0.8432106614112854
2023-07-23 13:31:14 INFO     [dprr: graphsage on citeseer with eps=1] Saving best hp to output/bl_best_hp.json
2023-07-23 13:31:14 INFO     [dprr: graphsage on citeseer with eps=2] Start grid search for hyperparameter tuning.
2023-07-23 13:36:35 INFO     [dprr: graphsage on citeseer with eps=2] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.8719089031219482
2023-07-23 13:36:35 INFO     [dprr: graphsage on citeseer with eps=2] Saving best hp to output/bl_best_hp.json
2023-07-23 13:36:35 INFO     [dprr: graphsage on citeseer] Grid search done.
2023-07-23 13:36:35 INFO     Grid search done!
2023-07-23 13:36:35 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 13:36:35 INFO     [dprr: graphsage on citeseer] Start running experiments on various epsilons.
2023-07-23 13:36:35 INFO     [dprr: graphsage on citeseer with eps=1] Run with best hp found: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001}.
2023-07-23 13:37:49 INFO     [dprr: graphsage on citeseer with eps=1] Test accuracy is 0.7275240384615383 (0.008706824568722673).
2023-07-23 13:37:49 INFO     [dprr: graphsage on citeseer with eps=1] Saving training results to output/bl_results.json
2023-07-23 13:37:49 INFO     [dprr: graphsage on citeseer with eps=2] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 13:38:46 INFO     [dprr: graphsage on citeseer with eps=2] Test accuracy is 0.7234375 (0.008730022188614869).
2023-07-23 13:38:46 INFO     [dprr: graphsage on citeseer with eps=2] Saving training results to output/bl_results.json
2023-07-23 13:38:46 INFO     [dprr: graphsage on citeseer] Experiments done.
2023-07-23 13:38:46 INFO     All baseline experiments done!
