2023-07-23 06:38:55 INFO     Start experiments with Namespace(dataset='citeseer', model='gat', method=['ldpgen'], grid_search=True, use_dense_model=False, eps=[1, 2])
2023-07-23 06:39:29 INFO     Using device: cuda
2023-07-23 06:39:29 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 06:39:29 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 06:39:29 INFO     [ldpgen: gat on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 06:39:29 INFO     [ldpgen: gat on citeseer with eps=1] Start grid search for hyperparameter tuning.
2023-07-23 06:46:45 INFO     [ldpgen: gat on citeseer with eps=1] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.001} with validation loss 1.5827978610992433
2023-07-23 06:46:45 INFO     [ldpgen: gat on citeseer with eps=1] Saving best hp to output/bl_best_hp.json
2023-07-23 06:46:45 INFO     [ldpgen: gat on citeseer with eps=2] Start grid search for hyperparameter tuning.
2023-07-23 06:54:07 INFO     [ldpgen: gat on citeseer with eps=2] Best hparam is: {'do': 0.001, 'lr': 0.01, 'wd': 0.001} with validation loss 1.5516044616699218
2023-07-23 06:54:07 INFO     [ldpgen: gat on citeseer with eps=2] Saving best hp to output/bl_best_hp.json
2023-07-23 06:54:07 INFO     [ldpgen: gat on citeseer] Grid search done.
2023-07-23 06:54:07 INFO     Grid search done!
2023-07-23 06:54:07 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 06:54:07 INFO     [ldpgen: gat on citeseer] Start running experiments on various epsilons.
2023-07-23 06:54:07 INFO     [ldpgen: gat on citeseer with eps=1] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 06:55:31 INFO     [ldpgen: gat on citeseer with eps=1] Test accuracy is 0.3771233974358974 (0.016754317182485087).
2023-07-23 06:55:31 INFO     [ldpgen: gat on citeseer with eps=1] Saving training results to output/bl_results.json
2023-07-23 06:55:31 INFO     [ldpgen: gat on citeseer with eps=2] Run with best hp found: {'do': 0.001, 'lr': 0.01, 'wd': 0.001}.
2023-07-23 06:56:54 INFO     [ldpgen: gat on citeseer with eps=2] Test accuracy is 0.38713942307692306 (0.02085108495437719).
2023-07-23 06:56:54 INFO     [ldpgen: gat on citeseer with eps=2] Saving training results to output/bl_results.json
2023-07-23 06:56:54 INFO     [ldpgen: gat on citeseer] Experiments done.
2023-07-23 06:56:54 INFO     All baseline experiments done!
