2023-07-24 10:38:19 INFO     Start experiments with Namespace(dataset='facebook', model='gat', method=['ldpgen'], grid_search=True, use_dense_model=True, eps=[2])
2023-07-24 10:38:28 INFO     Using device: cuda
2023-07-24 10:38:28 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-24 10:38:28 INFO     Grid search. Load hyperparameter space from config.json
2023-07-24 10:38:28 INFO     [ldpgen: gat on facebook] Grid search for hyperparameter tuning on various epsilons.
2023-07-24 10:38:28 INFO     [ldpgen: gat on facebook with eps=2] Start grid search for hyperparameter tuning.
2023-07-24 11:00:06 INFO     [ldpgen: gat on facebook with eps=2] Best hparam is: {'do': 0.1, 'lr': 0.01, 'wd': 0} with validation loss 1.3541947603225708
2023-07-24 11:00:06 INFO     [ldpgen: gat on facebook with eps=2] Saving best hp to output/bl_best_hp.json
2023-07-24 11:00:06 INFO     [ldpgen: gat on facebook] Grid search done.
2023-07-24 11:00:06 INFO     Grid search done!
2023-07-24 11:00:06 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-24 11:00:06 INFO     [ldpgen: gat on facebook] Start running experiments on various epsilons.
2023-07-24 11:00:06 INFO     [ldpgen: gat on facebook with eps=2] Run with best hp found: {'do': 0.1, 'lr': 0.01, 'wd': 0}.
2023-07-24 11:44:14 INFO     [ldpgen: gat on facebook with eps=2] Test accuracy is 0.31120802183457935 (0.03307782000939557).
2023-07-24 11:44:14 INFO     [ldpgen: gat on facebook with eps=2] Saving training results to output/bl_results.json
2023-07-24 11:44:14 INFO     [ldpgen: gat on facebook] Experiments done.
2023-07-24 11:44:14 INFO     All baseline experiments done!
