2023-07-23 11:12:56 INFO     Start experiments with Namespace(dataset='citeseer', model='graphsage', method=['symrr'], grid_search=True, use_dense_model=False, eps=[3, 4])
2023-07-23 11:13:03 INFO     Using device: cuda
2023-07-23 11:13:03 INFO     _CudaDeviceProperties(name='NVIDIA A100-PCIE-40GB', major=8, minor=0, total_memory=40536MB, multi_processor_count=108)
2023-07-23 11:13:03 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 11:13:03 INFO     [symrr: graphsage on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 11:13:03 INFO     [symrr: graphsage on citeseer with eps=3] Start grid search for hyperparameter tuning.
2023-07-23 12:20:31 INFO     [symrr: graphsage on citeseer with eps=3] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001} with validation loss 0.838657796382904
2023-07-23 12:20:31 INFO     [symrr: graphsage on citeseer with eps=3] Saving best hp to output/bl_best_hp.json
2023-07-23 12:20:31 INFO     [symrr: graphsage on citeseer with eps=4] Start grid search for hyperparameter tuning.
2023-07-23 12:47:46 INFO     [symrr: graphsage on citeseer with eps=4] Best hparam is: {'do': 0.001, 'lr': 0.01, 'wd': 0.0001} with validation loss 0.8286892294883728
2023-07-23 12:47:46 INFO     [symrr: graphsage on citeseer with eps=4] Saving best hp to output/bl_best_hp.json
2023-07-23 12:47:46 INFO     [symrr: graphsage on citeseer] Grid search done.
2023-07-23 12:47:46 INFO     Grid search done!
2023-07-23 12:47:46 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 12:47:46 INFO     [symrr: graphsage on citeseer] Start running experiments on various epsilons.
2023-07-23 12:47:46 INFO     [symrr: graphsage on citeseer with eps=3] Run with best hp found: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001}.
2023-07-23 13:00:27 INFO     [symrr: graphsage on citeseer with eps=3] Test accuracy is 0.7373397435897436 (0.005125074164406208).
2023-07-23 13:00:27 INFO     [symrr: graphsage on citeseer with eps=3] Saving training results to output/bl_results.json
2023-07-23 13:00:27 INFO     [symrr: graphsage on citeseer with eps=4] Run with best hp found: {'do': 0.001, 'lr': 0.01, 'wd': 0.0001}.
2023-07-23 13:05:35 INFO     [symrr: graphsage on citeseer with eps=4] Test accuracy is 0.7348958333333334 (0.00773776714915038).
2023-07-23 13:05:35 INFO     [symrr: graphsage on citeseer with eps=4] Saving training results to output/bl_results.json
2023-07-23 13:05:35 INFO     [symrr: graphsage on citeseer] Experiments done.
2023-07-23 13:05:35 INFO     All baseline experiments done!
