2023-07-23 14:24:54 INFO     Start experiments with Namespace(dataset='lastfm', model='graphsage', method=['symrr'], grid_search=True, use_dense_model=False, eps=[7, 8])
2023-07-23 14:24:59 INFO     Using device: cuda
2023-07-23 14:24:59 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 14:24:59 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 14:24:59 INFO     [symrr: graphsage on lastfm] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 14:24:59 INFO     [symrr: graphsage on lastfm with eps=7] Start grid search for hyperparameter tuning.
2023-07-23 14:29:39 INFO     [symrr: graphsage on lastfm with eps=7] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.9118560791015625
2023-07-23 14:29:39 INFO     [symrr: graphsage on lastfm with eps=7] Saving best hp to output/bl_best_hp.json
2023-07-23 14:29:39 INFO     [symrr: graphsage on lastfm with eps=8] Start grid search for hyperparameter tuning.
2023-07-23 14:34:19 INFO     [symrr: graphsage on lastfm with eps=8] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.8487746715545654
2023-07-23 14:34:19 INFO     [symrr: graphsage on lastfm with eps=8] Saving best hp to output/bl_best_hp.json
2023-07-23 14:34:19 INFO     [symrr: graphsage on lastfm] Grid search done.
2023-07-23 14:34:19 INFO     Grid search done!
2023-07-23 14:34:19 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 14:34:19 INFO     [symrr: graphsage on lastfm] Start running experiments on various epsilons.
2023-07-23 14:34:19 INFO     [symrr: graphsage on lastfm with eps=7] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 14:35:12 INFO     [symrr: graphsage on lastfm with eps=7] Test accuracy is 0.7288737320741517 (0.04006706748833721).
2023-07-23 14:35:12 INFO     [symrr: graphsage on lastfm with eps=7] Saving training results to output/bl_results.json
2023-07-23 14:35:12 INFO     [symrr: graphsage on lastfm with eps=8] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 14:36:02 INFO     [symrr: graphsage on lastfm with eps=8] Test accuracy is 0.7578698845750262 (0.029497081423183077).
2023-07-23 14:36:02 INFO     [symrr: graphsage on lastfm with eps=8] Saving training results to output/bl_results.json
2023-07-23 14:36:02 INFO     [symrr: graphsage on lastfm] Experiments done.
2023-07-23 14:36:02 INFO     All baseline experiments done!
