2023-07-23 12:25:42 INFO     Start experiments with Namespace(dataset='citeseer', model='graphsage', method=['ldpgen'], grid_search=True, use_dense_model=False, eps=[3, 4])
2023-07-23 12:25:47 INFO     Using device: cuda
2023-07-23 12:25:47 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 12:25:47 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 12:25:47 INFO     [ldpgen: graphsage on citeseer] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 12:25:47 INFO     [ldpgen: graphsage on citeseer with eps=3] Start grid search for hyperparameter tuning.
2023-07-23 12:30:29 INFO     [ldpgen: graphsage on citeseer with eps=3] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.001} with validation loss 0.8932390093803406
2023-07-23 12:30:29 INFO     [ldpgen: graphsage on citeseer with eps=3] Saving best hp to output/bl_best_hp.json
2023-07-23 12:30:29 INFO     [ldpgen: graphsage on citeseer with eps=4] Start grid search for hyperparameter tuning.
2023-07-23 12:35:11 INFO     [ldpgen: graphsage on citeseer with eps=4] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.001} with validation loss 0.8979423880577088
2023-07-23 12:35:11 INFO     [ldpgen: graphsage on citeseer with eps=4] Saving best hp to output/bl_best_hp.json
2023-07-23 12:35:11 INFO     [ldpgen: graphsage on citeseer] Grid search done.
2023-07-23 12:35:11 INFO     Grid search done!
2023-07-23 12:35:11 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 12:35:11 INFO     [ldpgen: graphsage on citeseer] Start running experiments on various epsilons.
2023-07-23 12:35:11 INFO     [ldpgen: graphsage on citeseer with eps=3] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 12:36:04 INFO     [ldpgen: graphsage on citeseer with eps=3] Test accuracy is 0.7273237179487179 (0.0059591901564593095).
2023-07-23 12:36:04 INFO     [ldpgen: graphsage on citeseer with eps=3] Saving training results to output/bl_results.json
2023-07-23 12:36:04 INFO     [ldpgen: graphsage on citeseer with eps=4] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.001}.
2023-07-23 12:36:57 INFO     [ldpgen: graphsage on citeseer with eps=4] Test accuracy is 0.7312500000000001 (0.006789181065230857).
2023-07-23 12:36:57 INFO     [ldpgen: graphsage on citeseer with eps=4] Saving training results to output/bl_results.json
2023-07-23 12:36:57 INFO     [ldpgen: graphsage on citeseer] Experiments done.
2023-07-23 12:36:57 INFO     All baseline experiments done!
