2023-07-23 11:46:10 INFO     Start experiments with Namespace(dataset='facebook', model='graphsage', method=['ldpgen'], grid_search=True, use_dense_model=False, eps=[3, 4])
2023-07-23 11:46:20 INFO     Using device: cuda
2023-07-23 11:46:20 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 11:46:20 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 11:46:20 INFO     [ldpgen: graphsage on facebook] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 11:46:20 INFO     [ldpgen: graphsage on facebook with eps=3] Start grid search for hyperparameter tuning.
2023-07-23 12:19:12 INFO     [ldpgen: graphsage on facebook with eps=3] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.6185737371444702
2023-07-23 12:19:12 INFO     [ldpgen: graphsage on facebook with eps=3] Saving best hp to output/bl_best_hp.json
2023-07-23 12:19:12 INFO     [ldpgen: graphsage on facebook with eps=4] Start grid search for hyperparameter tuning.
2023-07-23 12:43:30 INFO     [ldpgen: graphsage on facebook with eps=4] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.6214298844337464
2023-07-23 12:43:30 INFO     [ldpgen: graphsage on facebook with eps=4] Saving best hp to output/bl_best_hp.json
2023-07-23 12:43:30 INFO     [ldpgen: graphsage on facebook] Grid search done.
2023-07-23 12:43:30 INFO     Grid search done!
2023-07-23 12:43:30 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 12:43:30 INFO     [ldpgen: graphsage on facebook] Start running experiments on various epsilons.
2023-07-23 12:43:30 INFO     [ldpgen: graphsage on facebook with eps=3] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 12:49:30 INFO     [ldpgen: graphsage on facebook with eps=3] Test accuracy is 0.754752580989676 (0.002112824806043473).
2023-07-23 12:49:30 INFO     [ldpgen: graphsage on facebook with eps=3] Saving training results to output/bl_results.json
2023-07-23 12:49:30 INFO     [ldpgen: graphsage on facebook with eps=4] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001}.
2023-07-23 12:54:02 INFO     [ldpgen: graphsage on facebook with eps=4] Test accuracy is 0.7571793046161148 (0.002758733756128881).
2023-07-23 12:54:02 INFO     [ldpgen: graphsage on facebook with eps=4] Saving training results to output/bl_results.json
2023-07-23 12:54:02 INFO     [ldpgen: graphsage on facebook] Experiments done.
2023-07-23 12:54:02 INFO     All baseline experiments done!
