2023-07-23 05:24:28 INFO     Start experiments with Namespace(dataset='cora', model='gat', method=['ldpgen'], grid_search=True, use_dense_model=False, eps=[1, 2])
2023-07-23 05:24:33 INFO     Using device: cuda
2023-07-23 05:24:33 INFO     _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81111MB, multi_processor_count=108)
2023-07-23 05:24:33 INFO     Grid search. Load hyperparameter space from config.json
2023-07-23 05:24:33 INFO     [ldpgen: gat on cora] Grid search for hyperparameter tuning on various epsilons.
2023-07-23 05:24:33 INFO     [ldpgen: gat on cora with eps=1] Start grid search for hyperparameter tuning.
2023-07-23 05:33:10 INFO     [ldpgen: gat on cora with eps=1] Best hparam is: {'do': 0.01, 'lr': 0.01, 'wd': 0.001} with validation loss 1.7896048307418824
2023-07-23 05:33:10 INFO     [ldpgen: gat on cora with eps=1] Saving best hp to output/bl_best_hp.json
2023-07-23 05:33:10 INFO     [ldpgen: gat on cora with eps=2] Start grid search for hyperparameter tuning.
2023-07-23 05:41:44 INFO     [ldpgen: gat on cora with eps=2] Best hparam is: {'do': 0, 'lr': 0.01, 'wd': 0.001} with validation loss 1.7337094783782958
2023-07-23 05:41:44 INFO     [ldpgen: gat on cora with eps=2] Saving best hp to output/bl_best_hp.json
2023-07-23 05:41:44 INFO     [ldpgen: gat on cora] Grid search done.
2023-07-23 05:41:44 INFO     Grid search done!
2023-07-23 05:41:44 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-07-23 05:41:44 INFO     [ldpgen: gat on cora] Start running experiments on various epsilons.
2023-07-23 05:41:44 INFO     [ldpgen: gat on cora with eps=1] Run with best hp found: {'do': 0.01, 'lr': 0.01, 'wd': 0.001}.
2023-07-23 05:43:21 INFO     [ldpgen: gat on cora with eps=1] Test accuracy is 0.33441654357459394 (0.013460308123952162).
2023-07-23 05:43:21 INFO     [ldpgen: gat on cora with eps=1] Saving training results to output/bl_results.json
2023-07-23 05:43:21 INFO     [ldpgen: gat on cora with eps=2] Run with best hp found: {'do': 0, 'lr': 0.01, 'wd': 0.001}.
2023-07-23 05:44:58 INFO     [ldpgen: gat on cora with eps=2] Test accuracy is 0.3442639094042344 (0.014542462363673117).
2023-07-23 05:44:58 INFO     [ldpgen: gat on cora with eps=2] Saving training results to output/bl_results.json
2023-07-23 05:44:58 INFO     [ldpgen: gat on cora] Experiments done.
2023-07-23 05:44:58 INFO     All baseline experiments done!
